open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2023-03-10 14:00:00,20184.90000000,20191.40000000,19657.11000000,19819.80000000,47271.45090000,2023-03-10 14:59:59.999,941643930.64811620,763464,23348.47474000,465115988.40800070,0
2023-03-10 15:00:00,19819.80000000,20037.75000000,19766.00000000,20004.96000000,36948.61278000,2023-03-10 15:59:59.999,735292775.68691060,610109,18777.73823000,373702012.51808320,0
2023-03-10 16:00:00,20004.96000000,20307.73000000,19928.83000000,20016.36000000,36709.18200000,2023-03-10 16:59:59.999,737481498.87272400,651876,18733.13791000,376423376.74293430,0
2023-03-10 17:00:00,20015.11000000,20082.66000000,19830.74000000,19930.48000000,31007.14935000,2023-03-10 17:59:59.999,618375483.26878630,597819,15401.30976000,307156120.36503160,0
2023-03-10 18:00:00,19928.57000000,20005.21000000,19824.06000000,19848.52000000,20359.44087000,2023-03-10 18:59:59.999,405454036.24027200,460534,10006.72385000,199292062.18742290,0
2023-03-10 19:00:00,19848.50000000,20071.40000000,19843.40000000,20024.32000000,21587.99302000,2023-03-10 19:59:59.999,430768658.33040840,477117,11018.41053000,219865103.32597140,0
2023-03-10 20:00:00,20022.72000000,20066.72000000,19938.07000000,19969.31000000,15890.12244000,2023-03-10 20:59:59.999,317777020.38052630,405307,7845.02006000,156893219.02987060,0
2023-03-10 21:00:00,19969.31000000,20129.10000000,19850.00000000,20076.64000000,16487.91290000,2023-03-10 21:59:59.999,328939798.03586170,423612,8124.08473000,162090555.77513810,0
2023-03-10 22:00:00,20076.64000000,20167.79000000,20021.64000000,20097.23000000,14562.97988000,2023-03-10 22:59:59.999,292736893.17119810,436048,7104.13501000,142808342.50133730,0
2023-03-10 23:00:00,20097.23000000,20240.40000000,20084.21000000,20150.69000000,17114.62096000,2023-03-10 23:59:59.999,344995957.54783220,355548,8529.47506000,171946449.24499470,0
2023-03-11 00:00:00,20150.69000000,20301.79000000,20135.05000000,20216.03000000,22331.05908000,2023-03-11 00:59:59.999,451537148.70122550,466363,10916.91784000,220746550.50251980,0
2023-03-11 01:00:00,20215.53000000,20686.51000000,20215.50000000,20586.75000000,36421.82903000,2023-03-11 01:59:59.999,744754204.28149040,712284,18323.79886000,374658838.35114610,0
2023-03-11 02:00:00,20586.75000000,20640.11000000,20374.07000000,20492.43000000,21108.18651000,2023-03-11 02:59:59.999,432454911.10557020,579453,10593.47781000,217037485.25430840,0
2023-03-11 03:00:00,20491.36000000,20502.75000000,20315.01000000,20393.88000000,18728.32545000,2023-03-11 03:59:59.999,381829119.89868870,479424,9600.79691000,195735476.33852740,0
2023-03-11 04:00:00,20393.89000000,20414.81000000,20271.23000000,20339.70000000,16413.50707000,2023-03-11 04:59:59.999,333801298.99091920,415543,8026.57752000,163236434.14882240,0
2023-03-11 05:00:00,20339.69000000,20435.43000000,20307.45000000,20391.39000000,11862.67058000,2023-03-11 05:59:59.999,241807184.85560170,337220,5986.61247000,122034333.69489400,0
2023-03-11 06:00:00,20391.40000000,20408.46000000,20200.00000000,20284.61000000,16272.52221000,2023-03-11 06:59:59.999,330227988.45670340,412809,7841.30215000,159128412.33908500,0
